ID,Marked,Frame0,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
037024e4a7122e10546ebc41859c6833,1,N/M,N/M,N/M,N/M,N/M,"[[(311, 303), (344, 369)]]","[[(264, 369), (310, 301)]]","[[(224, 302), (264, 369)]]","[[(176, 297), (224, 375)]]","[[(152, 300), (190, 370)]]","[[(141, 301), (174, 367)]]",N/M,N/M,N/M,N/M,N/M
038d648c2f29cb0f945c865be25e32e9,1,"[[(144, 217), (194, 253)]]","[[(155, 206), (208, 256)]]","[[(242, 267), (170, 204)]]","[[(341, 364), (370, 302)], [(336, 446), (374, 520)]]",N/M,"[[(342, 305), (293, 369)], [(253, 445), (300, 518)]]","[[(312, 306), (255, 369)], [(210, 450), (255, 517)]]","[[(273, 308), (222, 369)], [(172, 448), (214, 519)]]","[[(194, 305), (228, 367)], [(154, 456), (185, 517)]]","[[(196, 305), (168, 369)]]","[[(172, 308), (150, 364)]]","[[(133, 305), (170, 361)]]","[[(262, 225), (232, 259)]]","[[(194, 222), (229, 261)]]","[[(166, 221), (191, 264)]]",N/M
0397026df63bbc8fd88f9860c6e35b4a,1,N/M,N/M,N/M,N/M,N/M,N/M,"[[(324, 527), (363, 574)]]","[[(319, 528), (373, 572)]]","[[(303, 527), (372, 568)]]","[[(281, 525), (341, 569)]]","[[(296, 524), (255, 568)]]","[[(250, 519), (225, 561)]]",N/M,N/M,N/M,N/M
03a36512c2c6d71c33b3429b8b59494e,1,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(350, 376), (380, 426)]]","[[(298, 370), (354, 429)], [(409, 189), (353, 222)]]","[[(348, 177), (290, 223)], [(230, 373), (314, 429)]]","[[(276, 176), (225, 224)], [(168, 373), (259, 431)]]","[[(203, 186), (162, 225)], [(206, 366), (117, 431)]]","[[(142, 179), (99, 228)], [(156, 359), (110, 429)]]","[[(140, 371), (98, 431)]]",N/M
04b32b70b4ab15cad85d43e3b5359239,1,N/M,"[[(322, 212), (362, 258)]]","[[(297, 214), (339, 258)]]","[[(307, 220), (246, 257)]]","[[(274, 221), (222, 259)]]","[[(194, 227), (231, 262)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M
052117021fc1396db6bae78ffe923ee4,1,"[[(320, 605), (347, 637)], [(220, 187), (269, 206)]]","[[(333, 597), (361, 631)], [(239, 190), (284, 201)]]","[[(338, 599), (359, 633)]]","[[(324, 596), (342, 631)]]",N/M,"[[(304, 604), (325, 639)]]","[[(261, 599), (282, 637)]]","[[(215, 600), (234, 634)]]","[[(171, 599), (197, 635)]]","[[(145, 600), (164, 631)]]","[[(132, 604), (154, 632)]]",N/M,N/M,N/M,"[[(246, 597), (277, 634)]]","[[(294, 605), (316, 636)], [(194, 193), (274, 223)]]"
0535d52b89f5dcca44563b62592ca366,1,N/M,"[[(356, 599), (376, 633)]]","[[(358, 595), (382, 633)], [(320, 384), (358, 425)]]","[[(298, 380), (366, 423)], [(343, 599), (385, 635)]]","[[(270, 381), (324, 421)], [(311, 603), (339, 632)]]","[[(274, 601), (322, 637)], [(239, 383), (290, 428)]]","[[(244, 384), (211, 421)], [(265, 597), (223, 641)]]","[[(210, 602), (190, 641)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M
05aea64cd02c88b94d0663be46f4d2bf,1,"[[(62, 147), (154, 73)], [(261, 233), (327, 288)]]","[[(66, 149), (155, 72)], [(248, 238), (323, 284)]]","[[(105, 145), (178, 72)], [(307, 225), (231, 285)]]","[[(143, 69), (226, 146)], [(286, 229), (220, 283)]]","[[(256, 229), (209, 282)], [(267, 126), (205, 55)]]",N/M,"[[(406, 142), (311, 64)]]","[[(437, 149), (338, 65)]]","[[(434, 144), (358, 59)]]","[[(446, 135), (353, 56)]]","[[(399, 136), (334, 61)]]","[[(357, 143), (321, 67)]]","[[(307, 72), (249, 144)]]","[[(245, 71), (172, 148)]]","[[(197, 69), (106, 147)], [(278, 230), (317, 288)]]",N/M
06726105fabadca043737601d06415a8,1,"[[(148, 497), (198, 593)]]","[[(169, 498), (199, 532)], [(184, 539), (225, 597)]]","[[(228, 538), (262, 595)], [(208, 501), (226, 531)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(266, 492), (299, 534)]]","[[(218, 493), (262, 534)], [(220, 542), (253, 590)]]","[[(174, 490), (229, 536)], [(177, 537), (204, 591)]]","[[(137, 495), (201, 541)], [(133, 546), (180, 597)]]","[[(123, 493), (179, 537)], [(114, 541), (171, 597)]]",N/M
06f07ef12a24cd5ab6aa457ac8afa2a0,1,N/M,"[[(208, 597), (239, 640)]]","[[(245, 605), (273, 641)]]","[[(282, 598), (319, 634)]]",N/M,"[[(351, 597), (389, 633)]]","[[(354, 597), (406, 635)]]","[[(389, 596), (340, 637)]]","[[(354, 595), (313, 635)]]","[[(272, 593), (305, 637)]]","[[(221, 595), (252, 636)]]",N/M,N/M,"[[(154, 600), (173, 633)]]","[[(142, 598), (162, 633)]]",N/M
06ff02c1f431d0c21b945b4ea459cc88,1,N/M,N/M,N/M,N/M,N/M,N/M,"[[(314, 100), (377, 146)]]","[[(345, 95), (409, 144)]]","[[(366, 94), (420, 144)]]","[[(366, 96), (409, 140)]]","[[(350, 93), (378, 139)]]",N/M,"[[(294, 84), (249, 133)]]","[[(244, 90), (174, 137)]]","[[(194, 95), (134, 129)]]",N/M
0748878870d90c426ee75d30aed5b024,1,N/M,N/M,N/M,N/M,N/M,"[[(285, 300), (312, 337)]]","[[(254, 301), (312, 339)]]","[[(226, 296), (294, 342)]]","[[(266, 294), (192, 339)]]","[[(232, 296), (172, 339)]]",N/M,N/M,N/M,N/M,N/M,N/M
077c5701d8ee08e469ada0ef3b105cba,1,"[[(62, 148), (143, 192)]]","[[(101, 146), (172, 193)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(309, 149), (250, 211)]]",N/M,"[[(128, 149), (178, 194)]]","[[(78, 145), (151, 195)]]",N/M
087d7648e320f02c2c41e029f6cc2cd0,1,N/M,N/M,N/M,N/M,N/M,"[[(280, 534), (330, 584)]]","[[(239, 536), (293, 583)]]","[[(186, 532), (256, 584)]]","[[(156, 533), (213, 587)]]","[[(186, 537), (135, 583)]]","[[(158, 537), (129, 578)]]",N/M,N/M,N/M,N/M,N/M
08daf3a6cdb4f5e1ad15cb2431ea419a,1,"[[(313, 401), (352, 451)], [(399, 210), (352, 252)]]","[[(390, 215), (345, 254)], [(299, 393), (342, 450)]]","[[(371, 213), (322, 261)], [(277, 398), (341, 449)]]","[[(339, 210), (288, 262)], [(329, 393), (251, 446)]]","[[(299, 392), (220, 447)]]","[[(267, 396), (209, 449)]]","[[(235, 389), (183, 445)]]","[[(214, 391), (160, 449)]]","[[(194, 392), (163, 446)], [(410, 210), (344, 264)]]","[[(404, 204), (317, 264)]]","[[(365, 205), (279, 264)]]","[[(306, 207), (234, 259)]]","[[(246, 207), (195, 262)]]","[[(191, 204), (157, 265)]]","[[(124, 212), (153, 264)], [(313, 402), (334, 456)]]",N/M
091cfe2e108e277d82497ee1307f424c,1,N/M,N/M,N/M,N/M,N/M,"[[(340, 197), (369, 222)]]","[[(296, 200), (333, 218)]]","[[(250, 201), (352, 224)], [(355, 381), (381, 445)]]","[[(344, 377), (370, 442)], [(199, 201), (298, 229)]]","[[(248, 202), (142, 223)], [(305, 382), (362, 443)]]","[[(195, 203), (166, 217)], [(260, 377), (350, 443)]]","[[(162, 205), (132, 223)], [(216, 379), (326, 443)]]","[[(278, 370), (177, 445)]]","[[(238, 375), (144, 441)]]","[[(201, 374), (128, 441)]]",N/M
0958be20b77ecd4b4e19d749a271b7bb,1,"[[(318, 380), (361, 440)]]","[[(313, 375), (369, 448)]]","[[(302, 380), (358, 445)]]","[[(286, 381), (344, 448)]]","[[(258, 377), (321, 446)]]","[[(237, 376), (280, 446)]]","[[(198, 443), (252, 377)]]","[[(168, 445), (230, 381)]]","[[(149, 446), (212, 379)]]","[[(149, 447), (203, 378)]]",N/M,N/M,N/M,N/M,N/M,N/M
097dd567939b9ec200cbc29749fec135,1,"[[(131, 527), (207, 594)]]","[[(156, 527), (237, 591)]]","[[(189, 529), (274, 593)]]","[[(238, 535), (303, 592)]]",N/M,"[[(307, 536), (354, 597)], [(302, 337), (335, 276)]]","[[(318, 531), (356, 599)], [(302, 342), (346, 276)]]","[[(318, 531), (348, 593)], [(294, 342), (344, 277)]]","[[(330, 593), (303, 531)], [(283, 337), (330, 278)]]","[[(271, 532), (301, 593)], [(335, 531), (352, 588)], [(307, 279), (262, 337)]]","[[(278, 279), (246, 333)], [(312, 590), (283, 529)]]","[[(246, 277), (222, 340)], [(274, 533), (240, 594)]]","[[(200, 277), (231, 341)], [(237, 530), (187, 593)]]","[[(182, 278), (214, 341)], [(208, 526), (152, 597)]]","[[(169, 276), (205, 326)], [(196, 536), (128, 594)]]",N/M
098f5cfcf6faefd3011a94719cb03dc5,1,N/M,N/M,N/M,N/M,"[[(308, 327), (358, 265)]]","[[(272, 328), (376, 263)]]","[[(237, 329), (342, 262)]]","[[(196, 329), (294, 265)], [(377, 601), (400, 638)]]","[[(250, 330), (164, 261)], [(342, 657), (374, 599)]]","[[(307, 645), (347, 598)], [(209, 329), (170, 264)]]","[[(178, 329), (143, 267)], [(257, 601), (300, 645)]]","[[(202, 601), (254, 641)]]","[[(206, 600), (162, 641)]]","[[(166, 601), (134, 637)]]","[[(149, 605), (122, 637)]]",N/M
09a8fdd43905244c6626e15385c9ae22,1,"[[(188, 177), (290, 239)], [(121, 426), (163, 496)], [(318, 593), (350, 638)]]","[[(190, 180), (291, 237)], [(136, 429), (181, 499)], [(325, 585), (359, 629)]]","[[(302, 183), (198, 244)], [(169, 433), (211, 496)]]","[[(283, 184), (222, 241)]]","[[(280, 183), (222, 237)]]","[[(257, 195), (222, 231)]]",N/M,N/M,N/M,"[[(379, 432), (324, 495)]]","[[(354, 429), (298, 497)]]","[[(311, 433), (253, 501)], [(271, 203), (304, 236)]]","[[(239, 193), (288, 239)], [(262, 430), (210, 498)]]","[[(215, 186), (287, 244)], [(218, 432), (164, 495)], [(202, 591), (253, 637)]]","[[(181, 432), (135, 500)], [(291, 594), (243, 636)], [(212, 177), (280, 241)]]",N/M
0a27d19c6ec397661b09f7d5998e0b14,1,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(442, 165), (378, 205)]]","[[(438, 162), (336, 221)]]","[[(379, 168), (287, 220)]]","[[(314, 165), (234, 219)]]",N/M,N/M,N/M,N/M
0ada538288f0b62b01510b397a8acb9e,1,N/M,N/M,N/M,N/M,"[[(345, 532), (363, 577)]]","[[(310, 529), (334, 581)]]","[[(269, 579), (304, 533)]]","[[(266, 581), (222, 536)]]","[[(175, 580), (238, 538)]]","[[(207, 538), (153, 580)]]","[[(185, 538), (140, 580)]]","[[(182, 537), (146, 580)]]",N/M,"[[(201, 542), (176, 583)]]","[[(225, 544), (204, 581)]]",N/M
0ae548ce1d028459baf4a1d7dae807f3,1,"[[(282, 277), (338, 307)]]","[[(119, 168), (199, 210)], [(260, 278), (318, 310)]]","[[(165, 169), (232, 210)], [(233, 277), (289, 306)]]","[[(204, 280), (258, 309)]]","[[(303, 173), (357, 217)], [(190, 282), (236, 309)]]","[[(210, 167), (287, 217)]]","[[(138, 167), (214, 219)]]","[[(80, 171), (140, 216)]]",N/M,N/M,N/M,N/M,N/M,N/M,"[[(312, 282), (353, 306)]]",N/M
0b2e8050a0c115b873563399e7c86ad6,1,"[[(170, 237), (234, 295)]]","[[(202, 243), (230, 293)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(312, 245), (340, 294)]]","[[(286, 246), (325, 293)]]","[[(254, 242), (302, 293)]]","[[(238, 243), (280, 293)]]","[[(211, 244), (275, 292)]]","[[(193, 239), (256, 292)]]",N/M
0b8d4ebeeb72a935257f364d36619df1,1,N/M,N/M,N/M,N/M,N/M,N/M,"[[(375, 602), (394, 646)]]","[[(366, 604), (392, 650)]]","[[(338, 601), (366, 646)]]","[[(302, 601), (338, 649)]]","[[(248, 599), (302, 649)]]","[[(196, 602), (270, 647)]]","[[(170, 601), (217, 645)]]","[[(143, 597), (183, 649)]]",N/M,N/M
0bda1483163734578cfe5ea429347f03,1,N/M,"[[(358, 612), (377, 640)]]","[[(343, 607), (373, 643)]]","[[(309, 605), (363, 645)]]","[[(274, 607), (320, 643)]]","[[(237, 605), (274, 645)]]","[[(201, 607), (227, 645)]]","[[(162, 607), (186, 649)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M
0c305970b637b3cbcbb8cef4ef935df8,1,N/M,N/M,"[[(383, 448), (406, 495)]]","[[(368, 437), (402, 510)]]","[[(351, 438), (390, 509)]]","[[(301, 437), (346, 511)]]","[[(250, 433), (310, 510)], [(374, 97), (401, 131)]]","[[(194, 433), (256, 510)], [(369, 95), (425, 140)]]","[[(206, 432), (142, 511)], [(357, 93), (421, 138)]]","[[(170, 427), (115, 510)], [(321, 87), (386, 138)]]","[[(156, 434), (98, 520)], [(277, 93), (330, 132)]]","[[(148, 437), (111, 507)], [(231, 91), (269, 122)]]","[[(206, 92), (179, 117)]]",N/M,N/M,N/M
0c64d2701479ab8733a412187338da75,1,"[[(234, 319), (167, 355)]]","[[(218, 318), (172, 356)]]","[[(342, 452), (368, 523)]]","[[(328, 453), (352, 523)]]","[[(296, 454), (333, 527)]]","[[(261, 453), (298, 529)]]","[[(225, 449), (262, 528)]]","[[(191, 449), (226, 530)]]","[[(196, 453), (165, 526)]]","[[(177, 454), (149, 525)]]","[[(174, 458), (143, 525)]]",N/M,"[[(270, 321), (321, 353)]]","[[(234, 318), (307, 360)]]","[[(206, 317), (282, 361)]]",N/M
0c933b8ef1d435d48f55abde75e4757b,1,"[[(153, 590), (182, 639)]]","[[(162, 588), (211, 635)]]","[[(201, 588), (250, 634)]]","[[(243, 589), (283, 631)]]",N/M,"[[(318, 588), (365, 633)]]","[[(337, 589), (378, 632)]]","[[(330, 581), (374, 632)]]","[[(322, 584), (354, 632)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M
0d06d6cafd95360fb15573181f8f3d9a,1,"[[(368, 167), (422, 227)]]","[[(350, 172), (410, 227)]]","[[(322, 168), (378, 227)]]","[[(285, 166), (329, 221)]]","[[(359, 383), (391, 441)], [(233, 171), (255, 225)]]","[[(308, 381), (346, 437)]]","[[(256, 379), (296, 437)]]","[[(202, 381), (237, 439)]]","[[(178, 381), (165, 437)]]","[[(143, 379), (120, 433)]]",N/M,N/M,N/M,"[[(308, 168), (334, 235)]]",N/M,N/M
0d10b14405f0443be67a75554da778a0,1,"[[(218, 202), (283, 239)], [(356, 98), (393, 133)], [(164, 608), (185, 645)]]","[[(270, 203), (202, 242)], [(322, 96), (360, 128)], [(174, 607), (201, 648)]]","[[(220, 605), (194, 639)], [(251, 204), (196, 240)], [(276, 95), (310, 124)]]","[[(230, 94), (255, 123)], [(242, 205), (203, 233)], [(254, 600), (224, 638)]]",N/M,"[[(302, 600), (351, 641)]]","[[(317, 598), (365, 639)]]","[[(371, 601), (331, 641)]]","[[(357, 601), (330, 637)]]","[[(330, 601), (305, 639)]]","[[(291, 603), (273, 635)]]","[[(247, 599), (230, 637)]]",N/M,"[[(207, 605), (221, 640)]]","[[(251, 196), (308, 245)], [(179, 605), (197, 638)]]","[[(159, 604), (183, 641)], [(232, 199), (296, 241)]]"
0d925b71485ba1f293ef8abb53fcd141,1,"[[(188, 543), (154, 602)]]","[[(203, 532), (175, 599)]]","[[(218, 532), (189, 602)], [(337, 645), (368, 596)]]","[[(223, 534), (253, 594)], [(354, 601), (312, 644)]]","[[(274, 641), (331, 598)]]","[[(292, 601), (231, 640)]]","[[(248, 602), (201, 641)]]","[[(174, 600), (204, 644)]]","[[(153, 601), (174, 644)]]","[[(134, 602), (154, 645)]]",N/M,"[[(268, 535), (287, 596)]]","[[(223, 605), (258, 531)]]","[[(188, 601), (226, 529)]]","[[(162, 599), (202, 531)]]","[[(149, 601), (192, 532)]]"
0e08d031fc411f9679c7520e6f8ab4eb,1,"[[(153, 599), (176, 639)], [(332, 378), (361, 421)]]","[[(175, 600), (199, 641)], [(326, 376), (367, 425)]]","[[(305, 374), (354, 424)]]","[[(271, 374), (335, 425)]]","[[(237, 375), (306, 420)]]","[[(259, 371), (202, 421)], [(351, 602), (371, 647)]]","[[(214, 371), (177, 422)], [(359, 605), (381, 644)]]","[[(182, 373), (154, 423)], [(351, 597), (372, 644)]]","[[(164, 376), (134, 424)], [(329, 595), (356, 645)]]","[[(290, 597), (336, 652)]]","[[(246, 592), (301, 646)]]","[[(201, 594), (264, 649)]]","[[(173, 594), (235, 648)]]","[[(198, 595), (142, 649)]]","[[(178, 593), (134, 641)]]","[[(171, 597), (131, 643)]]"
0e34d284cb190a79e3316d1926061bc3,1,"[[(287, 581), (338, 649)]]","[[(301, 582), (346, 648)]]","[[(306, 581), (343, 651)]]","[[(320, 589), (302, 642)]]",N/M,"[[(278, 644), (299, 585)]]","[[(240, 648), (280, 581)], [(339, 537), (378, 578)]]","[[(203, 649), (253, 581)], [(333, 538), (381, 580)]]","[[(183, 649), (228, 584)], [(315, 533), (392, 577)]]","[[(284, 530), (356, 578)], [(162, 650), (213, 585)]]","[[(166, 652), (206, 581)], [(298, 535), (256, 577)]]","[[(174, 583), (206, 651)], [(246, 530), (214, 569)]]",N/M,"[[(214, 580), (246, 651)]]","[[(242, 578), (278, 655)]]","[[(267, 581), (317, 652)]]"
0f47335091ce43a8025ebd2076630dfd,1,"[[(180, 495), (138, 548)]]","[[(197, 501), (172, 537)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(308, 497), (338, 534)]]","[[(271, 493), (304, 539)]]","[[(211, 493), (266, 538)]]","[[(165, 494), (230, 540)]]","[[(209, 495), (132, 537)]]","[[(181, 493), (117, 540)]]","[[(174, 494), (122, 545)]]"
0fbe960b8c7c5c1ddd0a650ddf8093f0,1,N/M,N/M,N/M,N/M,N/M,N/M,"[[(265, 166), (331, 212)]]","[[(250, 168), (324, 214)]]","[[(226, 170), (308, 212)]]","[[(281, 173), (206, 212)]]","[[(266, 164), (193, 213)]]","[[(250, 168), (188, 206)]]",N/M,N/M,N/M,N/M
0fc066d8ab1c5a6a42b636c1fc5876a6,1,N/M,"[[(349, 265), (382, 216)]]","[[(334, 205), (357, 262)]]","[[(284, 199), (330, 261)]]","[[(247, 211), (300, 265)]]","[[(200, 211), (266, 264)]]","[[(162, 213), (234, 265)]]","[[(128, 209), (203, 266)]]","[[(122, 208), (178, 266)]]","[[(128, 211), (171, 267)]]",N/M,N/M,N/M,N/M,N/M,N/M
0fdad88d401b09d417ffbc490640d9e2,1,"[[(163, 481), (144, 531)]]",N/M,N/M,N/M,N/M,N/M,"[[(346, 145), (278, 94)]]","[[(310, 93), (381, 145)]]","[[(330, 95), (397, 145)]]","[[(333, 92), (387, 142)], [(341, 473), (360, 517)]]","[[(310, 523), (346, 475)], [(324, 90), (372, 146)]]","[[(266, 525), (333, 475)], [(321, 91), (303, 149)]]","[[(295, 477), (224, 525)]]","[[(178, 523), (251, 477)]]","[[(168, 524), (216, 480)]]","[[(185, 483), (163, 525)]]"
101f6614e88de51d424770caa52669d9,1,"[[(259, 405), (294, 461)]]","[[(259, 405), (295, 462)]]","[[(256, 409), (294, 461)]]",N/M,N/M,"[[(327, 211), (355, 258)]]","[[(291, 213), (329, 259)]]","[[(248, 211), (314, 260)]]","[[(280, 257), (205, 209)], [(380, 645), (349, 605)]]","[[(238, 256), (166, 208)], [(306, 647), (346, 601)]]","[[(253, 645), (306, 604)], [(197, 261), (138, 203)]]","[[(183, 254), (139, 205)], [(198, 648), (254, 604)]]","[[(204, 646), (147, 604)], [(152, 257), (186, 204)]]","[[(168, 644), (113, 602)], [(242, 405), (273, 466)]]","[[(150, 644), (106, 607)], [(234, 403), (270, 465)]]","[[(243, 405), (282, 469)]]"
10c7330d0a62c9a217cfe9e2fb5a26c0,1,"[[(168, 612), (204, 548)], [(331, 136), (378, 182)]]","[[(382, 185), (312, 138)], [(187, 613), (227, 545)]]","[[(219, 615), (265, 547)], [(284, 185), (344, 140)]]","[[(254, 546), (303, 618)], [(242, 138), (297, 181)]]","[[(205, 130), (257, 182)]]","[[(198, 133), (167, 181)], [(310, 544), (376, 613)]]","[[(317, 544), (395, 615)], [(137, 185), (176, 130)], [(338, 143), (392, 186)]]","[[(122, 177), (162, 135)], [(323, 548), (403, 615)]]","[[(126, 168), (163, 136)], [(313, 547), (390, 613)]]","[[(145, 163), (175, 141)], [(282, 546), (355, 614)], [(373, 178), (429, 142)]]","[[(247, 546), (303, 613)], [(334, 181), (393, 140)]]","[[(298, 178), (342, 137)], [(206, 547), (250, 613)]]","[[(243, 174), (281, 139)], [(166, 613), (199, 542)]]","[[(131, 612), (164, 541)], [(230, 137), (177, 186)]]","[[(163, 611), (194, 549)], [(142, 548), (114, 606)]]","[[(159, 611), (192, 545)]]"
112c6279f156611fef5f4cf55a9f1a9d,1,"[[(299, 530), (373, 576)]]","[[(305, 529), (373, 575)]]","[[(303, 522), (366, 579)]]","[[(291, 530), (337, 577)]]","[[(262, 524), (302, 577)]]","[[(237, 529), (263, 578)]]","[[(199, 528), (228, 574)]]","[[(170, 526), (188, 573)]]",N/M,N/M,N/M,"[[(241, 237), (281, 273)]]","[[(197, 229), (255, 276)]]","[[(162, 234), (232, 276)], [(243, 531), (276, 575)]]","[[(140, 233), (208, 277)], [(262, 531), (307, 577)]]","[[(290, 531), (350, 577)], [(142, 237), (196, 273)]]"
